"","id","name","logo","output$form","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"52",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","WWWL",4,0,4,3,0,3,0,0,0,1,0,1,10,0,10,4,0,4
"53",775,"Austria","https://media.api-sports.io/football/teams/775.png","LDL",3,0,3,0,0,0,1,0,1,2,0,2,1,0,1,3,0,3
"54",2,"France","https://media.api-sports.io/football/teams/2.png","DLL",1,2,3,0,0,0,0,1,1,1,1,2,0,1,1,2,4,6
"55",774,"Romania","https://media.api-sports.io/football/teams/774.png","DDL",1,2,3,0,0,0,1,1,2,0,1,1,0,1,1,0,3,3
"56",777,"Turkey","https://media.api-sports.io/football/teams/777.png","LWWDL",1,4,5,1,1,2,0,1,1,0,2,2,3,5,8,2,7,9
"57",27,"Portugal","https://media.api-sports.io/football/teams/27.png","WWLL",2,2,4,1,1,2,0,0,0,1,1,2,4,3,7,3,3,6
"58",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","WLL",1,2,3,0,1,1,0,0,0,1,1,2,1,3,4,3,3,6
"59",25,"Germany","https://media.api-sports.io/football/teams/25.png","WWWWL",3,2,5,2,2,4,0,0,0,1,0,1,6,4,10,4,2,6
"60",9,"Spain","https://media.api-sports.io/football/teams/9.png","DWWWDW",4,2,6,3,1,4,1,1,2,0,0,0,11,1,12,1,0,1
"61",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WDL",1,2,3,0,1,1,0,1,1,1,0,1,0,4,4,1,2,3
"62",768,"Italy","https://media.api-sports.io/football/teams/768.png","DDWDWL",2,4,6,1,1,2,1,2,3,0,1,1,3,3,6,1,6,7
"63",21,"Denmark","https://media.api-sports.io/football/teams/21.png","WLL",2,1,3,0,1,1,0,0,0,2,0,2,3,1,4,5,0,5
"64",10,"England","https://media.api-sports.io/football/teams/10.png","DWWD",2,2,4,1,1,2,1,1,2,0,0,0,1,4,5,0,3,3
"65",24,"Poland","https://media.api-sports.io/football/teams/24.png","DDL",2,1,3,0,0,0,2,0,2,0,1,1,2,0,2,2,1,3
"66",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","LLL",2,1,3,0,0,0,0,0,0,2,1,3,1,1,2,3,2,5
"67",2,"France","https://media.api-sports.io/football/teams/2.png","DWLL",1,3,4,0,1,1,1,0,1,0,2,2,1,2,3,1,4,5
"68",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","WLL",2,1,3,1,0,1,0,0,0,1,1,2,2,0,2,3,1,4
"69",27,"Portugal","https://media.api-sports.io/football/teams/27.png","LWWWD",2,3,5,1,2,3,1,0,1,0,1,1,2,4,6,1,3,4
"70",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LWWL",2,2,4,1,1,2,0,0,0,1,1,2,1,3,4,1,5,6
"71",25,"Germany","https://media.api-sports.io/football/teams/25.png","WDWWDL",5,1,6,2,1,3,2,0,2,1,0,1,6,1,7,3,0,3
"72",769,"Hungary","https://media.api-sports.io/football/teams/769.png","WDDL",2,2,4,0,1,1,1,1,2,1,0,1,3,3,6,7,1,8
"73",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","WDDD",2,2,4,0,1,1,2,1,3,0,0,0,1,2,3,1,1,2
"74",9,"Spain","https://media.api-sports.io/football/teams/9.png","WWLL",2,2,4,2,0,2,0,0,0,0,2,2,4,1,5,0,4,4
"75",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WDWL",2,2,4,1,1,2,0,1,1,1,0,1,2,3,5,2,2,4
"76",768,"Italy","https://media.api-sports.io/football/teams/768.png","WWLWD",3,2,5,2,1,3,0,1,1,1,0,1,3,3,6,1,1,2
"77",778,"Albania","https://media.api-sports.io/football/teams/778.png","LLW",1,2,3,0,1,1,0,0,0,1,1,2,0,1,1,1,2,3
"78",10,"England","https://media.api-sports.io/football/teams/10.png","DWDL",3,1,4,1,0,1,1,1,2,1,0,1,4,0,4,4,0,4
